Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal,LatDecimal_corrigido,LonDecimal_corrigido
Moimenta Da Beira,4058,N,736,W,MOIME,40.966667,-7.6,40.966667,-7.6
Moncao,4204,N,828,W,MONCA,42.066667,-8.466667,42.066667,-8.466667
Moncarapacho,3705,N,747,W,MPACH,37.083333,-7.783333,37.083333,-7.783333
Monchique,3719,N,833,W,MCHIQ,37.316667,-8.55,37.316667,-8.55
Mondim De Basto,4124,N,757,W,MBAST,41.4,-7.95,41.4,-7.95
Monforte,3903,N,726,W,MONFO,39.05,-7.433333,39.05,-7.433333
Monforte Da Beira,3944,N,717,W,MONFB,39.733333,-7.283333,39.733333,-7.283333
Monsanto (Covilha),4002,N,706,W,MONSA,40.033333,-7.1,40.033333,-7.1
Monsaraz,3826,N,722,W,MSRAZ,38.433333,-7.366667,38.433333,-7.366667
Montalegre,4149,N,747,W,MONTA,41.816667,-7.783333,41.816667,-7.783333
Montargil,3904,N,810,W,ARGIL,39.066667,-8.166667,39.066667,-8.166667
Monte Da Virgem – Gaia,4106,N,835,W,MVIRG,41.1,-8.583333,41.1,-8.583333
Monte Gordo,3710,N,727,W,MGORD,37.166667,-7.45,37.166667,-7.45
Monte Real (Povoacao),3951,N,851,W,MREAL,39.85,-8.85,39.85,-8.85
Montechoro,3705,N,813,W,MCHOR,37.083333,-8.216667,37.083333,-8.216667
Montelavar,3851,N,919,W,MLVAR,38.85,-9.316667,38.85,-9.316667
Montemor-O-Novo,3838,N,812,W,MNOVO,38.633333,-8.2,38.633333,-8.2
Montemor-O-Velho,4010,N,841,W,MTVEL,40.166667,-8.683333,40.166667,-8.683333
Mora,3856,N,809,W,MORA,38.933333,-8.15,38.933333,-8.15
Moreira (Maia),4114,N,838,W,MOREI,41.233333,-8.633333,41.233333,-8.633333
Mortagua,4023,N,813,W,MORTA,40.383333,-8.216667,40.383333,-8.216667
Moura,3808,N,726,W,MOURA,38.133333,-7.433333,38.133333,-7.433333
Mourao,3823,N,720,W,MORAO,38.383333,-7.333333,38.383333,-7.333333
Murtosa,4044,N,838,W,MURTS,40.733333,-8.633333,40.733333,-8.633333
Nazare,3935,N,904,W,NZARE,39.583333,-9.066667,39.583333,-9.066667
Nelas,4032,N,751,W,NELAS,40.533333,-7.85,40.533333,-7.85
Nisa,3931,N,738,W,NISA,39.516667,-7.633333,39.516667,-7.633333
Nogueira,4014,N,835,W,NEIRA,40.233333,-8.583333,40.233333,-8.583333
Nossa Senhora Machete,3834,N,841,W,NSMAC,38.566667,-8.683333,38.566667,-8.683333
Obidos,3921,N,909,W,OBIDO,39.35,-9.15,39.35,-9.15
Odeceixe,3725,N,846,W,ODCXE,37.416667,-8.766667,37.416667,-8.766667
Odeleite,3720,N,729,W,ODLTE,37.333333,-7.483333,37.333333,-7.483333
Odemira,3735,N,838,W,OMIRA,37.583333,-8.633333,37.583333,-8.633333
Odiaxere,3708,N,839,W,ODIAX,37.133333,-8.65,37.133333,-8.65
Odivelas,3848,N,910,W,ODIVL,38.8,-9.166667,38.8,-9.166667
Oeiras,3841,N,918,W,OEIRA,38.683333,-9.3,38.683333,-9.3
Oleiros,3955,N,754,W,OLEIR,39.916667,-7.9,39.916667,-7.9
Olhao,3701,N,750,W,OLHAO,37.016667,-7.833333,37.016667,-7.833333
Oliveira De Azemeis,4050,N,828,W,OLIAZ,40.833333,-8.466667,40.833333,-8.466667
Oliveira De Frades,4043,N,810,W,OFRAD,40.716667,-8.166667,40.716667,-8.166667
Oliveira Do Bairro,4030,N,829,W,OLIBA,40.5,-8.483333,40.5,-8.483333
Oliveira Do Hospital,4021,N,751,W,OLIVH,40.35,-7.85,40.35,-7.85
Ourem,3939,N,834,W,OUREM,39.65,-8.566667,39.65,-8.566667
Ourique,3739,N,813,W,ORQUE,37.65,-8.216667,37.65,-8.216667
Ovar (Povoacao),4051,N,837,W,OVAR,40.85,-8.616667,40.85,-8.616667
Paco De Arcos,3841,N,917,W,PARCO,38.683333,-9.283333,38.683333,-9.283333
Pacos De Ferreira,4116,N,822,W,PFERR,41.266667,-8.366667,41.266667,-8.366667
Paião,4004,N,848,W,PAIAO,40.066667,-8.8,40.066667,-8.8
Palhaca,4031,N,836,W,PALHA,40.516667,-8.6,40.516667,-8.6
Palmeirinha (Aljezur),3718,N,851,W,PLMEI,37.3,-8.85,37.3,-8.85
Palmela,3834,N,853,W,PALME,38.566667,-8.883333,38.566667,-8.883333
Pampilhosa,4020,N,825,W,PAMPI,40.333333,-8.416667,40.333333,-8.416667
Parada (Guarda),4032,N,702,W,PARAD,40.533333,-7.033333,40.533333,-7.033333
Parada De Ester,4055,N,803,W,PESTR,40.916667,-8.05,40.916667,-8.05
Paredes,4112,N,820,W,PARED,41.2,-8.333333,41.2,-8.333333
Paredes De Coura,4154,N,833,W,PCOUR,41.9,-8.55,41.9,-8.55
Parque Das Nacoes,3846,N,905,W,PNACO,38.766667,-9.083333,38.766667,-9.083333
Passos (Chaves),4153,N,709,W,PASSO,41.883333,-7.15,41.883333,-7.15
Pavia,3853,N,801,W,PAVIA,38.883333,-8.016667,38.883333,-8.016667
Pechao,3703,N,751,W,PECHA,37.05,-7.85,37.05,-7.85
Pegoes,3840,N,836,W,PGOES,38.666667,-8.6,38.666667,-8.6
Penacova,4016,N,816,W,PCOVA,40.266667,-8.266667,40.266667,-8.266667
Penafiel,4112,N,817,W,PFIEL,41.2,-8.283333,41.2,-8.283333
Penamancor,4010,N,710,W,PACOR,40.166667,-7.166667,40.166667,-7.166667
Penedono,4059,N,723,W,PDONO,40.983333,-7.383333,40.983333,-7.383333
Penela,4001,N,823,W,PNELA,40.016667,-8.383333,40.016667,-8.383333
Peniche,3921,N,921,W,PICHE,39.35,-9.35,39.35,-9.35
Pereira (Montemor O Velho),4011,N,834,W,PEREI,40.183333,-8.566667,40.183333,-8.566667
Pias,3801,N,728,W,PIAS,38.016667,-7.466667,38.016667,-7.466667
Picote,4124,N,621,W,PICOT,41.4,-6.35,41.4,-6.35
Pinhal Novo,3838,N,854,W,PNOVO,38.633333,-8.9,38.633333,-8.9
Pinhao,4111,N,732,W,PINHA,41.183333,-7.533333,41.183333,-7.533333
Pinheiro Da Bemposta,4047,N,829,W,PBEMP,40.783333,-8.483333,40.783333,-8.483333
Pinhel,4046,N,704,W,PNHEL,40.766667,-7.066667,40.766667,-7.066667
Poceirao,3838,N,844,W,PORAO,38.633333,-8.733333,38.633333,-8.733333
Pomarao,3733,N,731,W,POMAR,37.55,-7.516667,37.55,-7.516667
Pombal,3954,N,837,W,POMBL,39.9,-8.616667,39.9,-8.616667
Ponte 25 Abril,3841,N,910,W,P25AB,38.683333,-9.166667,38.683333,-9.166667
Ponte Da Barca,4148,N,824,W,PARCA,41.8,-8.4,41.8,-8.4
Ponte De Lima,4145,N,834,W,PLIMA,41.75,-8.566667,41.75,-8.566667
Ponte De Sor,3914,N,800,W,PTSOR,39.233333,-8.0,39.233333,-8.0
Ponte Do Freixo (Porto),4108,N,834,W,FREXO,41.133333,-8.566667,41.133333,-8.566667
Ponte Vasco Da Gama,3847,N,905,W,PGAMA,38.783333,-9.083333,38.783333,-9.083333
Portalegre,3917,N,725,W,PLGRE,39.283333,-7.416667,39.283333,-7.416667
Portel,3818,N,742,W,PRTEL,38.3,-7.7,38.3,-7.7
Portimao Ad,3708,N,832,W,PTMAO,37.133333,-8.533333,37.133333,-8.533333
Porto (Cidade),4109,N,836,W,PORTO,41.15,-8.6,41.15,-8.6
Porto Covo,3751,N,847,W,PCOVO,37.85,-8.783333,37.85,-8.783333
Porto Das Barcas,3733,N,847,W,PBARC,37.55,-8.783333,37.55,-8.783333
Porto De Leixoes,4111,N,842,W,PORLX,41.183333,-8.7,41.183333,-8.7
Porto De Mos,3936,N,849,W,PMOS,39.6,-8.816667,39.6,-8.816667
Povoa Do Lanhoso,4134,N,816,W,PLANH,41.566667,-8.266667,41.566667,-8.266667
Povoa Do Varzim,4122,N,845,W,PVARZ,41.366667,-8.75,41.366667,-8.75
Praia Da Falesia,3705,N,811,W,PFALE,37.083333,-8.183333,37.083333,-8.183333
Praia Da Luz,3705,N,843,W,PLUZ,37.083333,-8.716667,37.083333,-8.716667
Praia Da Oura,3705,N,813,W,POURA,37.083333,-8.216667,37.083333,-8.216667
Praia Da Rocha,3707,N,832,W,PROCH,37.116667,-8.533333,37.116667,-8.533333
Praia Das Macas,3849,N,928,W,PMACA,38.816667,-9.466667,38.816667,-9.466667
Praia De Faro,3700,N,759,W,PFARO,37.0,-7.983333,37.0,-7.983333
Praia Dos Arrifes,3704,N,816,W,PARRI,37.066667,-8.266667,37.066667,-8.266667
Praia Grande,3848,N,928,W,PGRAN,38.8,-9.466667,38.8,-9.466667
Praia Olhos Agua (Algarve),3705,N,811,W,PAGUA,37.083333,-8.183333,37.083333,-8.183333
Praia Verde,3710,N,728,W,PVERD,37.166667,-7.466667,37.166667,-7.466667
Proenca-A-Nova,3945,N,755,W,PNOVA,39.75,-7.916667,39.75,-7.916667
Quarteira,3704,N,806,W,QUART,37.066667,-8.1,37.066667,-8.1
Queira,4041,N,803,W,QUEIR,40.683333,-8.05,40.683333,-8.05
Quelfes,3703,N,749,W,QUELF,37.05,-7.816667,37.05,-7.816667
Queluz,3845,N,915,W,QUELZ,38.75,-9.25,38.75,-9.25
Quiaios,4012,N,850,W,QUIAI,40.2,-8.833333,40.2,-8.833333
Ralis,3846,N,907,W,RALIS,38.766667,-9.116667,38.766667,-9.116667
Raposa,3906,N,834,W,RPOSA,39.1,-8.566667,39.1,-8.566667
