
Name,Latitude,LatDir,Longitude,LonDir,Code,LatDecimal,LonDecimal
Barragem De Bouca,3951,N,00813,W,BOUCA,39.85,-8.216667
Barragem De Castelo De Bode,3932,N,00819,W,CBOD,39.533333,-8.316667
Barragem De Cedilhe (Vila Velha De Rodao),3939,N,00732,W,CEDIL,39.65,-7.533333
Barragem De Crestuma Tunel Vfr Prt,4104,N,00829,W,CREST,41.066667,-8.483333
Barragem De Fratel,3933,N,00748,W,FRATE,39.55,-7.8
Barragem De Freita,4135,N,00808,W,FREIT,41.583333,-8.133333
Barragem De Idanha,3956,N,00712,W,IDANB,39.933333,-7.2
Barragem De Montargil,3903,N,00810,W,MTGIL,39.05,-8.166667
Barragem De Montejunto – Cercal,3914,N,00900,W,CRCAL,39.233333,-9.0
Barragem De Odiaxere,3713,N,00841,W,BODIA,37.216667,-8.683333
Barragem De Odivelas,3811,N,00806,W,BODIV,38.183333,-8.1
Barragem De Pego Do Altar,3825,N,00823,W,PEGAL,38.416667,-8.383333
Barragem De Pracana,3933,N,00748,W,PCANA,39.55,-7.8
Barragem De Rilvas,3841,N,00850,W,RILVA,38.683333,-8.833333
Barragem De Santa Clara,3730,N,00826,W,SCVEL,37.5,-8.433333
Barragem De Santa Luzia,4005,N,00751,W,SUZIA,40.083333,-7.85
Barragem De Santa Suzana,3825,N,00823,W,STSUZ,38.416667,-8.383333
Barragem De Vale De Gaio,3814,N,00817,W,VGAIO,38.233333,-8.283333
Barragem De Vilar,4059,N,00732,W,BVILR,40.983333,-7.533333
Barragem De Vilarinho Das Furnas,4145,N,00812,W,VFUNA,41.75,-8.2
Barragem Do Alqueva,3811,N,00729,W,BALQV,38.183333,-7.483333
Barragem Do Azibo,4133,N,00653,W,BZIBO,41.55,-6.883333
Barragem Do Cabril,3955,N,00807,W,CBRIL,39.916667,-8.116667
Barragem Do Caia,3900,N,00708,W,CAIA,39.0,-7.133333
Barragem Do Carrapatelo,4105,N,00807,W,CARRA,41.083333,-8.116667
Barragem Do Ciborro,3847,N,00812,W,CIBOR,38.783333,-8.2
Barragem Do Covao Do Curral,4022,N,00738,W,COVAO,40.366667,-7.633333
Barragem Do Crato,3915,N,00739,W,CRATB,39.25,-7.65
Barragem Do Divor,3842,N,00755,W,DIVOR,38.7,-7.916667
Barragem Do Lindoso,4152,N,00812,W,BLINS,41.866667,-8.2
Barragem Do Maranhao,3900,N,00758,W,MNHAO,39.0,-7.966667
Barragem Do Pisco,4001,N,00733,W,PISCO,40.016667,-7.55
Barragem Do Pocinho,4108,N,00706,W,POCIN,41.133333,-7.1
Barragem Do Roxo,3755,N,00804,W,ROXO,37.916667,-8.066667
Barragem Monte Da Rocha,3743,N,00817,W,BROCH,37.716667,-8.283333
Barranco Do Velho,3714,N,00756,W,BVEL,37.233333,-7.933333
Barreiro,3839,N,00904,W,BARRE,38.65,-9.066667
Batalha,3939,N,00849,W,BATLH,39.65,-8.816667
Beja (Povoacao),3800,N,00751,W,BEJA,38.0,-7.85
Belas,3846,N,00916,W,BELAS,38.766667,-9.266667
Belmonte,4021,N,00720,W,BELMO,40.35,-7.333333
Benavente,3858,N,00848,W,BVENT,38.966667,-8.8
